PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0FVXb,B3k2r/3b1ppp/p2bpn2/1pp1q3/8/2N5/PPPP1PPP/R1BQ1RK1 w k - 1 13,a8f3 e5h2,631,91,87,210,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/D8Nve3T7#25,Sicilian_Defense Sicilian_Defense_Closed
0ADwy,r3kb1r/p4ppp/b3q3/2p5/6n1/PP2N3/1PQPNPPP/R1B1K2R w KQkq - 5 15,e3g4 e6e2,604,84,87,174,mate mateIn1 oneMove opening,https://lichess.org/8PUKcEVU#29,French_Defense French_Defense_Queens_Knight
0AbaT,6k1/p4p1p/1pp2bpP/2Pqp3/5BP1/2P1Q3/P1B2P2/1K6 b - - 0 32,e5f4 e3e8,580,79,100,102,endgame mate mateIn1 oneMove,https://lichess.org/KUgDb86O/black#64,
09fwQ,4r2k/p3r2p/1p1b1p1q/6p1/1P1B1PP1/P3PQ2/7P/1R4RK w - - 0 30,f4g5 h6h2,624,86,82,201,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4AlcuvH1#59,
08t3k,2Q5/7p/7P/3p2p1/5pP1/2K2P2/kp6/8 b - - 0 51,b2b1q c8a6,618,90,80,482,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/3pp02Zyr/black#102,
09UfY,8/1p2nppp/p1rRk3/4p3/N3P3/4P3/PP4PP/5RK1 b - - 0 21,c6d6 a4c5,712,107,97,854,endgame mate mateIn1 oneMove,https://lichess.org/XjPmbiS1/black#42,
04xz5,2k2r2/ppp1n3/2b1p2p/6pB/PP1P2Q1/2P1P3/3B2PP/R4q1K w - - 5 23,a1f1 f8f1,519,104,94,410,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/8958ZeeG#45,
0LmgO,1k1r4/pp2b3/5rp1/1P1pp2p/P7/2NR3Q/2P3PP/3R1q1K w - - 2 28,d1f1 f6f1,635,100,78,71,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/MtZeKyDi#55,
0AMC8,3r2k1/5pbp/4p1p1/3rP3/pppNR3/7P/PPP2PP1/1K2R3 w - - 4 25,d4c6 d5d1 e1d1 d8d1,589,97,75,339,backRankMate endgame mate mateIn2 short,https://lichess.org/BIoSLhcP#49,
03N1y,4r1k1/1pp2ppp/1b2bn2/3q4/Q2PP3/5N2/4BPPP/B4RK1 b - - 0 17,f6e4 a4e8,574,93,71,132,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4kW7FMfy/black#34,English_Opening English_Opening_Anglo-Scandinavian_Defense
00EdH,r4rk1/pb3ppp/1p2p3/3q4/3N4/2PQ3P/PP3PP1/R4RK1 w - - 1 18,d3c2 d5g2,633,87,87,94,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/R9ruy5QZ#35,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
